NAME;MODEL;FILE_SIZE;ENCODING_TIME;DECODING_TIME
00/000000.bin;1150;76157;26;14
00/000000.bin;1450;210420;37;13
00/000000.bin;1451;104579;15;6
00/000000.bin;1452;16720;2;0
00/000001.bin;1150;74691;24;11
00/000001.bin;1450;208445;28;18
00/000001.bin;1451;104902;15;7
00/000001.bin;1452;16645;2;0
00/000002.bin;1150;74170;29;11
00/000002.bin;1450;207947;30;14
00/000002.bin;1451;105454;12;7
00/000002.bin;1452;16823;2;1
00/000003.bin;1150;73091;25;11
00/000003.bin;1450;206046;37;18
00/000003.bin;1451;105936;14;6
00/000003.bin;1452;16704;2;1
00/000004.bin;1150;72479;21;10
00/000004.bin;1450;205154;28;13
00/000004.bin;1451;106037;12;7
00/000004.bin;1452;16929;2;1
00/000005.bin;1150;72998;21;10
00/000005.bin;1450;205466;26;13
00/000005.bin;1451;106963;12;6
00/000005.bin;1452;17606;2;1
00/000006.bin;1150;71854;20;9
00/000006.bin;1450;204172;25;12
00/000006.bin;1451;108119;13;6
00/000006.bin;1452;18100;2;1
00/000007.bin;1150;70766;20;10
00/000007.bin;1450;202263;25;13
00/000007.bin;1451;109202;12;6
00/000007.bin;1452;18507;2;1
00/000008.bin;1150;69907;20;9
00/000008.bin;1450;200803;25;12
00/000008.bin;1451;109505;13;6
00/000008.bin;1452;18618;2;1
00/000009.bin;1150;69517;20;9
00/000009.bin;1450;199822;25;12
00/000009.bin;1451;110511;13;6
00/000009.bin;1452;18854;2;1
00/000010.bin;1150;70246;20;9
00/000010.bin;1450;200361;24;12
00/000010.bin;1451;113488;13;6
00/000010.bin;1452;19574;2;1
00/000011.bin;1150;70261;20;9
00/000011.bin;1450;200238;24;12
00/000011.bin;1451;115709;13;6
00/000011.bin;1452;20498;2;1
00/000012.bin;1150;70481;20;9
00/000012.bin;1450;200441;31;12
00/000012.bin;1451;117344;14;6
00/000012.bin;1452;20580;2;1
00/000013.bin;1150;71465;20;10
00/000013.bin;1450;201644;24;12
00/000013.bin;1451;120048;14;6
00/000013.bin;1452;20803;2;1
00/000014.bin;1150;71214;20;9
00/000014.bin;1450;201181;25;12
00/000014.bin;1451;120852;14;7
00/000014.bin;1452;21715;2;1
00/000015.bin;1150;71191;20;9
00/000015.bin;1450;201915;24;12
00/000015.bin;1451;121327;14;7
00/000015.bin;1452;21267;3;1
00/000016.bin;1150;68510;20;9
00/000016.bin;1450;199570;25;13
00/000016.bin;1451;119301;14;7
00/000016.bin;1452;20418;2;1
00/000017.bin;1150;68408;20;9
00/000017.bin;1450;200351;25;12
00/000017.bin;1451;118324;14;7
00/000017.bin;1452;19830;2;1
00/000018.bin;1150;68857;21;9
00/000018.bin;1450;201906;25;12
00/000018.bin;1451;118813;14;7
00/000018.bin;1452;20687;2;1
00/000019.bin;1150;69908;21;9
00/000019.bin;1450;203130;25;12
00/000019.bin;1451;119390;14;6
00/000019.bin;1452;21862;2;1
00/000020.bin;1150;70187;21;9
00/000020.bin;1450;203867;25;12
00/000020.bin;1451;120101;14;6
00/000020.bin;1452;21668;2;1
00/000021.bin;1150;70881;21;10
00/000021.bin;1450;204677;25;12
00/000021.bin;1451;121219;14;7
00/000021.bin;1452;21185;2;1
00/000022.bin;1150;70811;21;9
00/000022.bin;1450;205197;25;13
00/000022.bin;1451;122243;15;6
00/000022.bin;1452;20610;2;1
00/000023.bin;1150;70414;21;10
00/000023.bin;1450;204304;25;13
00/000023.bin;1451;121958;14;7
00/000023.bin;1452;19783;2;1
00/000024.bin;1150;72463;26;15
00/000024.bin;1450;206346;25;12
00/000024.bin;1451;123331;14;7
00/000024.bin;1452;19920;2;1
00/000025.bin;1150;70660;21;10
00/000025.bin;1450;204568;25;12
00/000025.bin;1451;121061;14;6
00/000025.bin;1452;20067;2;1
00/000026.bin;1150;69982;20;10
00/000026.bin;1450;203719;25;12
00/000026.bin;1451;119467;13;6
00/000026.bin;1452;20423;2;1
00/000027.bin;1150;68980;20;9
00/000027.bin;1450;202053;25;12
00/000027.bin;1451;117749;13;6
00/000027.bin;1452;20310;2;1
00/000028.bin;1150;67287;20;9
00/000028.bin;1450;199840;25;12
00/000028.bin;1451;116837;13;6
00/000028.bin;1452;20453;2;1
00/000029.bin;1150;65388;20;9
00/000029.bin;1450;197313;25;12
00/000029.bin;1451;116038;14;6
00/000029.bin;1452;20995;2;1
00/000030.bin;1150;63351;20;9
00/000030.bin;1450;194924;25;12
00/000030.bin;1451;115372;14;7
00/000030.bin;1452;21282;3;1
00/000031.bin;1150;62541;20;9
00/000031.bin;1450;194015;26;13
00/000031.bin;1451;115676;14;7
00/000031.bin;1452;21542;2;1
00/000032.bin;1150;61846;20;9
00/000032.bin;1450;192773;25;12
00/000032.bin;1451;114656;14;7
00/000032.bin;1452;21593;2;1
00/000033.bin;1150;60641;19;9
00/000033.bin;1450;191560;25;12
00/000033.bin;1451;114442;14;7
00/000033.bin;1452;22131;2;1
00/000034.bin;1150;60484;19;9
00/000034.bin;1450;190760;25;14
00/000034.bin;1451;113919;14;7
00/000034.bin;1452;22234;2;1
00/000035.bin;1150;60220;20;9
00/000035.bin;1450;189779;25;12
00/000035.bin;1451;114114;14;7
00/000035.bin;1452;22400;3;1
00/000036.bin;1150;60034;19;9
00/000036.bin;1450;189546;24;12
00/000036.bin;1451;114605;14;7
00/000036.bin;1452;22789;2;1
00/000037.bin;1150;59518;19;9
00/000037.bin;1450;188154;24;12
00/000037.bin;1451;114763;14;7
00/000037.bin;1452;23156;2;1
00/000038.bin;1150;59118;19;8
00/000038.bin;1450;187330;25;12
00/000038.bin;1451;114934;14;7
00/000038.bin;1452;22910;2;1
00/000039.bin;1150;58476;19;8
00/000039.bin;1450;186467;24;12
00/000039.bin;1451;113234;14;7
00/000039.bin;1452;23336;2;1
00/000040.bin;1150;58712;19;9
00/000040.bin;1450;186420;25;12
00/000040.bin;1451;112878;14;7
00/000040.bin;1452;24082;3;1
00/000041.bin;1150;58407;19;9
00/000041.bin;1450;185102;24;12
00/000041.bin;1451;112226;14;7
00/000041.bin;1452;25532;3;1
00/000042.bin;1150;57796;18;8
00/000042.bin;1450;183641;24;12
00/000042.bin;1451;113100;14;7
00/000042.bin;1452;27765;3;1
00/000043.bin;1150;57141;19;8
00/000043.bin;1450;181615;24;12
00/000043.bin;1451;112996;14;7
00/000043.bin;1452;29177;4;2
00/000044.bin;1150;57500;18;8
00/000044.bin;1450;179774;23;11
00/000044.bin;1451;112249;14;7
00/000044.bin;1452;29700;4;2
00/000045.bin;1150;56776;18;8
00/000045.bin;1450;176202;23;11
00/000045.bin;1451;109201;14;6
00/000045.bin;1452;29760;4;2
00/000046.bin;1150;56896;18;8
00/000046.bin;1450;174433;23;11
00/000046.bin;1451;107728;14;6
00/000046.bin;1452;31047;5;2
00/000047.bin;1150;57809;18;8
00/000047.bin;1450;176274;23;11
00/000047.bin;1451;107138;14;6
00/000047.bin;1452;30734;4;2
00/000048.bin;1150;57768;18;8
00/000048.bin;1450;178729;23;12
00/000048.bin;1451;107834;14;6
00/000048.bin;1452;30941;4;2
00/000049.bin;1150;58287;18;8
00/000049.bin;1450;180594;23;12
00/000049.bin;1451;108626;14;6
00/000049.bin;1452;29825;4;2
00/000050.bin;1150;59196;18;8
00/000050.bin;1450;183988;24;12
00/000050.bin;1451;110247;14;6
00/000050.bin;1452;27608;4;2
00/000051.bin;1150;59692;19;8
00/000051.bin;1450;186123;24;12
00/000051.bin;1451;110869;14;6
00/000051.bin;1452;25232;3;1
00/000052.bin;1150;60253;19;9
00/000052.bin;1450;187814;24;12
00/000052.bin;1451;112086;14;7
00/000052.bin;1452;23968;3;1
00/000053.bin;1150;60267;19;9
00/000053.bin;1450;188854;24;12
00/000053.bin;1451;112081;14;6
00/000053.bin;1452;23395;3;1
00/000054.bin;1150;60837;19;9
00/000054.bin;1450;190511;25;12
00/000054.bin;1451;111849;13;6
00/000054.bin;1452;22943;2;1
00/000055.bin;1150;61454;20;9
00/000055.bin;1450;192261;25;13
00/000055.bin;1451;112142;13;7
00/000055.bin;1452;23675;2;1
00/000056.bin;1150;62720;21;9
00/000056.bin;1450;193320;25;12
00/000056.bin;1451;112884;13;6
00/000056.bin;1452;24491;3;1
00/000057.bin;1150;62882;20;9
00/000057.bin;1450;193529;25;12
00/000057.bin;1451;113954;14;6
00/000057.bin;1452;24274;3;1
00/000058.bin;1150;63708;20;9
00/000058.bin;1450;194573;25;12
00/000058.bin;1451;114932;14;6
00/000058.bin;1452;24273;3;1
00/000059.bin;1150;64594;20;9
00/000059.bin;1450;195441;25;12
00/000059.bin;1451;116123;14;6
00/000059.bin;1452;24858;3;1
00/000060.bin;1150;64616;20;9
00/000060.bin;1450;195202;25;12
00/000060.bin;1451;117877;14;7
00/000060.bin;1452;26730;3;1
00/000061.bin;1150;64267;20;9
00/000061.bin;1450;194384;25;12
00/000061.bin;1451;118595;15;7
00/000061.bin;1452;28204;3;2
00/000062.bin;1150;64018;20;9
00/000062.bin;1450;193878;24;12
00/000062.bin;1451;118340;14;7
00/000062.bin;1452;29004;4;2
00/000063.bin;1150;63439;20;9
00/000063.bin;1450;191917;24;12
00/000063.bin;1451;116871;14;7
00/000063.bin;1452;28712;4;2
00/000064.bin;1150;62754;20;9
00/000064.bin;1450;191210;24;12
00/000064.bin;1451;117294;14;7
00/000064.bin;1452;29833;4;2
00/000065.bin;1150;61683;19;9
00/000065.bin;1450;189890;25;12
00/000065.bin;1451;117169;14;7
00/000065.bin;1452;29827;4;2
00/000066.bin;1150;60936;19;9
00/000066.bin;1450;188996;24;12
00/000066.bin;1451;116161;14;7
00/000066.bin;1452;29080;4;2
00/000067.bin;1150;59052;19;9
00/000067.bin;1450;186978;24;12
00/000067.bin;1451;114607;14;7
00/000067.bin;1452;29248;4;2
00/000068.bin;1150;59266;19;9
00/000068.bin;1450;187470;27;12
00/000068.bin;1451;113878;14;9
00/000068.bin;1452;29318;4;3
00/000069.bin;1150;57910;19;9
00/000069.bin;1450;185888;25;14
00/000069.bin;1451;112272;14;7
00/000069.bin;1452;28629;3;1
00/000070.bin;1150;57490;19;8
00/000070.bin;1450;184815;24;12
00/000070.bin;1451;110729;14;7
00/000070.bin;1452;28050;3;1
00/000071.bin;1150;57217;19;8
00/000071.bin;1450;184234;24;12
00/000071.bin;1451;110127;13;6
00/000071.bin;1452;27989;3;2
00/000072.bin;1150;56832;19;8
00/000072.bin;1450;183267;24;12
00/000072.bin;1451;109800;14;6
00/000072.bin;1452;29000;4;2
00/000073.bin;1150;56843;18;8
00/000073.bin;1450;183598;24;12
00/000073.bin;1451;110121;14;6
00/000073.bin;1452;30232;4;2
00/000074.bin;1150;56506;18;8
00/000074.bin;1450;182347;25;12
00/000074.bin;1451;109389;14;7
00/000074.bin;1452;30767;4;2
00/000075.bin;1150;56365;19;8
00/000075.bin;1450;181410;25;12
00/000075.bin;1451;109917;14;7
00/000075.bin;1452;31509;4;2
00/000076.bin;1150;56945;18;9
00/000076.bin;1450;182013;26;13
00/000076.bin;1451;111969;14;7
00/000076.bin;1452;32906;4;2
00/000077.bin;1150;56787;19;8
00/000077.bin;1450;181509;24;12
00/000077.bin;1451;112901;14;7
00/000077.bin;1452;33387;5;2
00/000078.bin;1150;56947;18;8
00/000078.bin;1450;181089;24;12
00/000078.bin;1451;114249;15;7
00/000078.bin;1452;33391;4;2
00/000079.bin;1150;57132;18;8
00/000079.bin;1450;181580;24;12
00/000079.bin;1451;113893;15;7
00/000079.bin;1452;33444;4;2
00/000080.bin;1150;56890;18;8
00/000080.bin;1450;180773;23;12
00/000080.bin;1451;114424;15;7
00/000080.bin;1452;33733;4;2
00/000081.bin;1150;56780;18;8
00/000081.bin;1450;181160;24;12
00/000081.bin;1451;114554;15;7
00/000081.bin;1452;34204;4;2
00/000082.bin;1150;58798;19;8
00/000082.bin;1450;183787;24;12
00/000082.bin;1451;115782;14;7
00/000082.bin;1452;34946;4;2
00/000083.bin;1150;58078;18;8
00/000083.bin;1450;183235;24;12
00/000083.bin;1451;115728;15;7
00/000083.bin;1452;35129;4;2
00/000084.bin;1150;59626;19;8
00/000084.bin;1450;185995;24;12
00/000084.bin;1451;117885;15;7
00/000084.bin;1452;35892;4;2
00/000085.bin;1150;62201;19;9
00/000085.bin;1450;189035;25;12
00/000085.bin;1451;119729;15;7
00/000085.bin;1452;35985;5;2
00/000086.bin;1150;62822;19;9
00/000086.bin;1450;189686;26;12
00/000086.bin;1451;120131;16;7
00/000086.bin;1452;36009;5;3
00/000087.bin;1150;62518;27;11
00/000087.bin;1450;189394;26;13
00/000087.bin;1451;119599;20;11
00/000087.bin;1452;36025;5;2
00/000088.bin;1150;63857;20;9
00/000088.bin;1450;191432;24;12
00/000088.bin;1451;119832;15;7
00/000088.bin;1452;36603;5;3
00/000089.bin;1150;64500;19;10
00/000089.bin;1450;192361;24;12
00/000089.bin;1451;119002;15;7
00/000089.bin;1452;37722;5;2
00/000090.bin;1150;65454;20;9
00/000090.bin;1450;193995;25;12
00/000090.bin;1451;118424;15;7
00/000090.bin;1452;38228;5;2
00/000091.bin;1150;66009;20;9
00/000091.bin;1450;194801;24;12
00/000091.bin;1451;118635;15;7
00/000091.bin;1452;39029;5;2
00/000092.bin;1150;66819;20;9
00/000092.bin;1450;196028;25;12
00/000092.bin;1451;118314;14;7
00/000092.bin;1452;39264;5;2
00/000093.bin;1150;67186;20;9
00/000093.bin;1450;196730;24;12
00/000093.bin;1451;117075;14;7
00/000093.bin;1452;39408;5;2
00/000094.bin;1150;67795;20;9
00/000094.bin;1450;197230;25;12
00/000094.bin;1451;115099;14;6
00/000094.bin;1452;38855;5;2
00/000095.bin;1150;68114;20;15
00/000095.bin;1450;198033;25;12
00/000095.bin;1451;113530;13;6
00/000095.bin;1452;38546;5;2
00/000096.bin;1150;68948;20;9
00/000096.bin;1450;199197;25;12
00/000096.bin;1451;112827;13;6
00/000096.bin;1452;38183;5;2
00/000097.bin;1150;69124;20;9
00/000097.bin;1450;199349;27;14
00/000097.bin;1451;111590;13;7
00/000097.bin;1452;37950;5;2
00/000098.bin;1150;70102;21;10
00/000098.bin;1450;200759;25;12
00/000098.bin;1451;111562;13;6
00/000098.bin;1452;38085;5;2
00/000099.bin;1150;71198;21;10
00/000099.bin;1450;202603;25;12
00/000099.bin;1451;110867;12;6
00/000099.bin;1452;37535;4;2
00/000100.bin;1150;72714;21;10
00/000100.bin;1450;204430;25;13
00/000100.bin;1451;110322;12;6
00/000100.bin;1452;37007;4;2
00/000101.bin;1150;73458;21;10
00/000101.bin;1450;205192;26;13
00/000101.bin;1451;109721;12;6
00/000101.bin;1452;36437;4;2
00/000102.bin;1150;74903;21;10
00/000102.bin;1450;207369;25;12
00/000102.bin;1451;109918;12;6
00/000102.bin;1452;36051;4;2
00/000103.bin;1150;76117;21;10
00/000103.bin;1450;208826;25;13
00/000103.bin;1451;110252;12;6
00/000103.bin;1452;35800;4;2
00/000104.bin;1150;77140;21;10
00/000104.bin;1450;210336;25;13
00/000104.bin;1451;110763;12;5
00/000104.bin;1452;35568;4;2
00/000105.bin;1150;77449;21;10
00/000105.bin;1450;210732;25;13
00/000105.bin;1451;111242;12;6
00/000105.bin;1452;35646;4;2
00/000106.bin;1150;79118;22;10
00/000106.bin;1450;212742;25;13
00/000106.bin;1451;111463;12;6
00/000106.bin;1452;35292;4;2
00/000107.bin;1150;82487;23;10
00/000107.bin;1450;216961;25;13
00/000107.bin;1451;113888;12;5
00/000107.bin;1452;35624;4;2
00/000108.bin;1150;84477;22;10
00/000108.bin;1450;218938;32;13
00/000108.bin;1451;114613;13;6
00/000108.bin;1452;35770;6;1
00/000109.bin;1150;86989;28;15
00/000109.bin;1450;222339;30;15
00/000109.bin;1451;116661;13;6
00/000109.bin;1452;35785;5;2
00/000110.bin;1150;88027;23;11
00/000110.bin;1450;223449;29;16
